ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1044.0941
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2424.9131
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1059.9737
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1016.4607
Invesco India Banking and PSU Fund - Growth Option	2266.0593
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1060.6909
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3085
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3095
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	12.9779
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	12.9789
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.3212
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.2723
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.029
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2881
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3147
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.4835
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.1167
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0837
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2644
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.7775
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0159
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3796
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.2521
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.2476
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	12.9693
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	12.9704
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.5215
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.5213
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.7485
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.5213
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.8097
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	11.1495
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.4930
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.7485
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.7398
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	11.0847
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.4936
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1456.6133
SBI BANKING & PSU FUND - Direct Plan - Growth	3306.9326
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1310.5433
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1453.3790
SBI BANKING & PSU FUND - Regular Paln - Growth	3113.4357
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1420.4359
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1230.3109
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1420.0940
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8022
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.5809
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7736
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.6726
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	42.9781
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.8220
